id,original,translation,approved,drift_score,validation_score
I0393,Believe that leaders should let everyone have a say in what the group does,リーダーは全員に発言権を与えるべきだと思う,1,4.00,4.67
I0394,Believe that life is more of a playground than a battlefield,人生は戦場より遊び場に近いと思う,,5.00,3.33
I0395,Believe that most questions have one right answer,ほとんどの問題には正解が一つだけあると思う,,3.00,4.67
I0396,Believe that my success depends on ability rather than luck,成功は運より能力で決まると思う,1,4.00,4.67
I0397,Believe that others are drawn to me because I am humble,謙虚だから人が惹かれると思う,,4.00,3.00
I0398,Believe that others have good intentions,他人には善意があると思う,1,5.00,4.33
I0399,Believe that our human nature brings us together to work for common goals,人間の本性は共通目標のために協力させると思う,,3.00,2.00
I0400,Believe that people are basically honest and good,人は基本的に正直で善良だと思う,1,5.00,5.00
I0401,Believe that people are basically moral,人は基本的に道徳的だと信じる,1,5.00,4.67
I0402,Believe that people are essentially evil,人は本質的に悪だと信じる,1,5.00,3.67
I0403,Believe that people seldom tell you the whole truth,人は滅多に真実を話さないと信じる,,3.00,4.33
I0404,Believe that the end justifies the means,目的のためなら手段を選ばない,1,4.00,5.00
I0405,Believe that the poor deserve our sympathy,貧しい人々は同情に値すると思う,1,4.00,4.67
I0406,Believe that the world is controlled by a few powerful people,世界は少数の権力者に支配されていると思う,1,5.00,5.00
I0407,Believe that there are universal truths,普遍的な真理が存在すると信じる,1,5.00,4.33
I0408,Believe that there is no absolute right and wrong,絶対的な善悪は存在しないと思う,1,4.00,4.67
I0409,Believe that there is no absolute right or wrong,絶対的な正誤は存在しないと思う,1,5.00,4.67
I0410,Believe that too much tax money goes to support artists,芸術家支援に税金を使いすぎだと思う,1,5.00,4.00
I0411,Believe that unfortunate events occur because of bad luck,不運な出来事は運の悪さによって起こると思う,,5.00,3.33
I0412,Believe that we coddle criminals too much,犯罪者を甘やかしすぎていると思う,1,4.00,5.00
I0413,Believe that we should be tough on crime,犯罪には厳しく対処すべきだと思う,1,5.00,5.00
I0414,"Believe that, sooner or later, people always let you down",人はいずれ必ず期待を裏切ると思う,,3.00,4.33
I0415,Believe there are many sides to most issues,ほとんどの問題には多くの側面があると思う,1,5.00,4.00
I0416,Believe there is never an excuse for lying,嘘をつくことは決して許されないと思う,1,4.00,5.00
I0417,Bet money on a sports event,スポーツの試合に賭けをする,1,5.00,5.00
I0418,Blurt out whatever comes into my mind,思いついたことを口に出してしまう,1,5.00,4.33
I0419,Boast about my virtues,自分の長所を自慢する,1,4.00,5.00
I0420,Boss people around,人に指図する,1,5.00,5.00
I0421,Bottle up my feelings,感情を抑え込む,,4.00,3.00
I0422,Bought a book,本を買った,1,5.00,4.67
I0423,Bought a book about the things that I collect,自分が集めているものの本を買った,1,5.00,4.00
I0424,"Bought a car, truck or motorcycle",車やバイクを買った,1,4.00,4.33
I0425,Bought a fashionable item of clothing,流行の服を買った,1,4.00,4.33
I0426,Bought a self-help book,自己啓発本を買った,1,5.00,4.33
I0427,Bought or picked flowers,花を買ったり摘んだりした,1,5.00,4.33
I0428,Bought or sold real estate,不動産を売買した,1,5.00,4.00
I0429,Bought or sold stocks or bonds,株や債券を売買した,1,5.00,4.00
I0430,Bought plants for a garden or yard,庭用の植物を購入した,1,5.00,4.00
I0431,Bought something for my collection,コレクション用に何か買う,1,4.00,3.67
I0432,Bought something other than groceries,食料品以外の買い物をする,1,4.00,4.67
I0433,Break my promises,約束を破ってしまう,1,5.00,4.33
I0434,Break rules,ルールを破る,1,5.00,4.33
I0435,Burst into tears,突然泣き出すことがある,1,4.00,4.67
I0436,Call for action while others talk,他者が話している最中に行動を促す,,3.00,2.00
I0437,Call my friends when they are sick,病気の友人に連絡する,1,4.00,5.00
I0438,Can accept a lot from others,他者から多くのことを受け入れられる,,5.00,2.33
I0439,Can always say enough is enough,いつでも区切りをつけられる,,3.00,2.33
I0440,Can be stirred up easily,簡単に動揺しやすい,,3.00,4.67
I0441,Can be trusted to keep my promises,約束を守る,1,4.00,5.00
I0442,Can become tearful thinking of the goodness of others,他者の善良さに涙する,,4.00,2.33
I0443,Can clearly picture in my mind what I want to happen in my future,将来の望みを心に明確に描ける,,3.00,3.67
I0444,Can control my emotions,感情をコントロールできる,1,5.00,4.67
I0445,Can control objects with my mind,念力で物を動かせる,,3.00,4.33
I0446,Can easily link facts together,事実同士を容易に結びつける,,5.00,2.67
I0447,Can easily push myself forward,自分を容易に前面に押し出せる,,5.00,2.33
I0448,Can express love to someone else,他者に愛を表現できる,1,5.00,4.00
I0449,Can face my fears,恐怖に立ち向かえる,1,4.00,4.67
I0450,Can find something of interest in any situation,どんな状況にも興味を見出す,1,4.00,4.00
I0451,Can find the positive in what seems negative to others,他人が否定的に見るものにも肯定的な面を見出す,1,4.00,3.67
I0452,Can handle a lot of information,大量の情報を処理できる,1,5.00,4.67
I0453,Can handle complex problems,複雑な問題に対処できる,1,5.00,5.00
I0454,Can hardly wait to see what life has in store for me in the years ahead,これからの人生に何が待っているか楽しみで仕方ない,1,4.00,4.33
I0455,Can manage many things at the same time,複数のことを同時にこなせる,1,5.00,5.00
I0456,Can never find anything,物が見つからないことが多い,,3.00,4.67
I0457,Can perform a wide variety of tasks,様々な種類の作業をこなせる,1,5.00,5.00
I0458,Can play many roles convincingly,多くの役割を説得力を持って演じられる,,5.00,2.67
I0459,Can predict the outcome of events,出来事の結果を予測できる,1,5.00,3.67
I0460,Can remain cool-headed when stressed out,ストレス下でも冷静でいられる,1,5.00,5.00
I0461,Can say things beautifully,美しい表現ができる,1,4.00,4.33
I0462,Can see different points of view,多様な視点で見られる,,4.00,3.33
I0463,Can see into the future,未来が見える,,5.00,2.00
I0464,Can slow myself down when I want to,意図的にペースを落とせる,1,4.00,4.33
I0465,Can stand criticism,批判に耐えられる,1,5.00,4.33
I0466,Can stay on a diet,ダイエットを続けられる,1,5.00,5.00
I0467,Can tackle anything,どんなことにも取り組める,1,5.00,4.33
I0468,Can take strong measures,強硬な手段を取れる,,5.00,3.33
I0469,Can talk others into doing things,人を説得して動かせる,1,4.00,4.33
I0470,Can work under pressure,プレッシャー下で働ける,1,5.00,4.00
I0471,Can�ft be bothered with other�fs needs,他人の必要としていることに関心がない,1,4.00,4.00
I0472,Cannot be counted on to get things done,やるべきことを最後までやらない,,3.00,4.33
I0473,Cannot imagine lying or cheating,嘘をついたり騙したりすることは考えられない,,5.00,3.00
I0474,Can't be bothered with other's needs,他人の必要としていることに関心がない,1,4.00,4.00
I0475,Can't be bothered with others�f needs,他人の必要としていることに関心がない,1,4.00,4.00
I0476,Can't come up with new ideas,新しいアイデアが思いつかない,1,5.00,4.00
I0477,Can't concentrate,集中できない,1,5.00,4.00
I0478,Can't do without the company of others,他者と一緒でないといられない,,4.00,3.00
I0479,Can't help but look upset when something bad happens,悪いことが起きると動揺を隠せない,1,4.00,4.33
I0480,Can't make up my mind,決断できない,1,5.00,4.00
I0481,Can't resist eating candy or cookies if they are around,お菓子があるとつい食べてしまう,1,4.00,5.00
I0482,Can't stand being alone,一人でいることに耐えられない,1,5.00,4.00
I0483,Can't stand being contradicted,反論されると我慢できない,1,5.00,4.00
I0484,Can't stand confrontations,対立を避けてしまう,,3.00,5.00
I0485,Can't stand on my own,自分一人では立ち行かない,,5.00,3.00
I0486,Can't stand weak people,弱い人を受け入れられない,1,4.00,3.67
I0487,Can't wait to get started on a project,プロジェクトにすぐ取りかかりたくなる,1,4.00,4.67
I0488,Care about justice,正義を大切にする,1,5.00,5.00
I0489,Care about others,他者を気にかける,1,5.00,5.00
I0490,Care for cattle or horses,家畜や馬の世話をする,,5.00,2.33
I0491,Care for sick people,病気の人の世話をする,1,5.00,5.00
I0492,Cared for a pet animal,ペットの世話をしたことがある,,4.00,3.00
I0493,Cared for a potted plant,鉢植えの世話をしたことがある,,4.00,3.00
I0494,Carry out medical research,医学研究を行う,,5.00,3.33
I0495,Carry out my plans,計画を実行する,1,4.00,5.00
I0496,Carry the conversation to a higher level,会話を深いレベルに導く,,3.00,3.67
I0497,Catch on to things quickly,物事をすぐに理解する,1,5.00,5.00
I0498,Challenge others' points of view,他人の見解に異議を唱える,1,5.00,4.00
I0499,Change my mood a lot,気分がよく変わる,1,4.00,5.00
I0500,Change myself to suit others,他人に合わせて自分を変える,1,5.00,5.00
I0501,Changed a habit to have less impact on the environment,環境への影響を減らすため習慣を変えた,1,5.00,4.67
I0502,Cheat on people who have trusted me,信頼してくれた人を裏切る,,3.00,3.67
I0503,Cheat to get ahead,優位に立つため不正をする,1,4.00,3.67
I0504,Check on things more often than necessary,必要以上に何度も確認する,1,4.00,5.00
I0505,Check over my work,自分の仕事を見直す,1,4.00,5.00
I0506,Checked the sales ads in a newspaper,新聞の特売広告をチェックした,1,5.00,4.00
I0507,Cheer loudly at sporting events,スポーツ観戦で大声で応援する,1,4.00,5.00
I0508,Cheer people up,人を元気づける,1,5.00,5.00
I0509,Cherish mementos,思い出の品を大切にする,1,5.00,5.00
I0510,Chewed gum,ガムを噛んだ,1,5.00,4.00
I0511,Choose my words with care,言葉を慎重に選ぶ,1,4.00,5.00
I0512,Choose the easy way,楽な方法を選ぶ,1,5.00,5.00
I0513,Chose to spend a day by myself,一人で過ごす日を選ぶ,1,4.00,4.33
I0514,Cleaned the house,家を掃除する,1,5.00,5.00
I0515,Come straight to the point,単刀直入に話す,1,4.00,5.00
I0516,Come up with a solution right away,すぐに解決策を思いつく,1,4.00,4.67
I0517,Come up with alternatives,代替案を考え出す,1,5.00,5.00
I0518,Come up with bold plans,大胆な計画を立てる,1,4.00,5.00
I0519,Come up with good solutions,良い解決策を思いつく,1,5.00,5.00
I0520,Come up with new ways to do things,新しいやり方を考え出す,1,5.00,5.00
I0521,Come up with something new,新しいアイデアを思いつく,1,4.00,5.00
I0522,Come up with unworkable plans,実現不可能な計画を立てる,1,4.00,5.00
I0523,Comment loudly about others,他人について大声で批評する,,3.00,5.00
I0524,Compete in athletic events,スポーツ競技に参加する,1,4.00,5.00
I0525,Complete tasks successfully,課題をうまくやり遂げる,1,4.00,5.00
I0526,Composted food scraps or yard waste,生ゴミや庭の廃棄物を堆肥にする,1,4.00,4.00
I0527,Conform to others' opinions,他人の意見に従う,1,4.00,5.00
I0528,Consider myself an average person,自分を平凡な人間だと思う,1,4.00,5.00
I0529,Consider myself to be a wise person,自分を賢明な人間だと思う,1,5.00,5.00
I0530,Construct new buildings,新しい建物を建設する,1,5.00,3.67
I0531,Consult the library or the Internet immediately if I want to know something,知りたいことがあればすぐ図書館やネットで調べる,1,5.00,5.00
I0532,Continue until everything is perfect,完璧になるまで続ける,1,5.00,5.00
I0533,Contradict others,人の意見に反論する,,3.00,4.00
I0534,Cooked a meal,食事を作った,,5.00,3.00
I0535,Copy others,人の真似をする,,5.00,3.33
I0536,Could be a success in many fields,多くの分野で成功できる,,4.00,3.33
I0537,Could easily live without having sex,性行為なしで容易に生きられる,,5.00,2.33
I0538,"Could never stop loving my family and close friends, no matter what they did",家族や親友を何があっても愛し続ける,1,4.00,5.00
I0539,Could not get going,やる気が出なかった,,4.00,3.33
I0540,Counsel persons who need help,助けが必要な人に助言する,1,5.00,5.00
I0541,Counter others' arguments,他者の主張に反論する,1,4.00,4.67
I0542,Crave the experience of great art,優れた芸術作品に触れたい,1,4.00,4.67
I0543,Create new fashion designs,新しいファッションをデザインする,1,5.00,4.67
I0544,Create works of art,芸術作品を創作する,1,5.00,5.00
I0545,Criticize others' shortcomings,他者の欠点を批判する,1,5.00,5.00
I0546,Cry during movies,映画を見て泣く,1,5.00,5.00
I0547,Cry easily,涙もろい,1,5.00,4.00
I0548,Cultivate plants,植物を育てる,1,5.00,5.00
I0549,Cut conversations short,会話を早々に切り上げる,1,4.00,4.67
I0550,Cut others to pieces,他者を徹底的に批判する,,3.00,5.00
I0551,Dare to say anything,何でも言ってのける,,4.00,2.67
I0552,Debate topics in a public meeting,公の場で議論する,1,4.00,4.00
I0553,Deceive people,人を欺く,1,5.00,4.67
I0554,Demand a lot from others,人に多くを求める,1,5.00,4.00
I0555,Demand attention,注目を求める,1,5.00,5.00
I0556,Demand explanations from others,人に説明を求める,1,4.00,4.33
I0557,Demand obedience,服従を求める,1,5.00,3.67
I0558,Demand perfection in others,人に完璧を求める,1,5.00,5.00
I0559,Demand quality,質を求める,1,5.00,3.67
I0560,Demand to be the center of interest,注目の的になろうとする,1,4.00,4.67
I0561,Deserve special treatment from others,他人から特別扱いされる価値がある,,5.00,2.00
I0562,Design a laboratory experiment,実験室での実験を設計する,1,5.00,4.67
I0563,Design Internet web pages,ウェブページをデザインする,1,5.00,5.00
I0564,Detect mistakes,ミスを見つける,1,5.00,4.33
I0565,Develop a computer program,コンピュータプログラムを開発する,1,5.00,5.00
I0566,Develop an office filing system,オフィスのファイリングシステムを構築する,1,4.00,4.67
I0567,Did aerobic exercise,有酸素運動をする,1,5.00,5.00
I0568,"Did not feel like eating, even though I should have been hungry",空腹なはずなのに食欲がわかない,,4.00,3.00
I0569,Did yard work,庭仕事をする,1,5.00,5.00
I0570,Did yoga or other movement exercises,ヨガなどの運動をする,1,4.00,5.00
I0571,Dined by candle light,キャンドルライトで食事をする,,5.00,3.33
I0572,Disclose my intimate thoughts,内面の考えを打ち明ける,1,4.00,4.00
I0573,Discussed religion or spirituality,宗教や精神性について話す,1,5.00,4.33
I0574,Discussed sports,スポーツについて話す,1,5.00,4.33
I0575,Dislike being around happy people when I'm feeling sad,悲しい時に幸せな人といたくない,1,5.00,3.67
I0576,Dislike being complimented,褒められるのが苦手だ,1,4.00,5.00
I0577,Dislike being the center of attention,注目の的になるのが苦手だ,1,4.00,5.00
I0578,Dislike changes,変化を好まない,1,5.00,4.33
I0579,Dislike children's birthday parties,子どもの誕生日会が苦手だ,1,4.00,4.67
I0580,Dislike competing with others,他人と競うのが苦手だ,1,4.00,5.00
I0581,Dislike having authority over others,他人を指揮することを好まない,,4.00,3.00
I0582,Dislike imperfect work,不完全な仕事を嫌う,1,4.00,4.67
I0583,Dislike learning,学ぶことを好まない,1,5.00,4.00
I0584,Dislike looking at my body,自分の体を見ることを好まない,,5.00,3.00
I0585,Dislike looking at myself in the mirror,鏡で自分を見ることを好まない,1,5.00,4.00
I0586,Dislike loud music,大音量の音楽を好まない,1,5.00,4.67
I0587,Dislike movies with happy Hollywood endings,ハッピーエンドの映画を好まない,1,4.00,4.67
I0588,Dislike myself,自分自身を嫌う,,3.00,3.33
I0589,Dislike neighbors living too close,隣人が近くに住むのを好まない,,5.00,3.00
I0590,Dislike new foods,新しい食べ物を好まない,1,5.00,4.67
I0591,Dislike routine,日課を嫌う,,5.00,3.00
I0592,Dislike taking responsibility for making decisions,決断の責任を負いたくない,1,4.00,4.00
I0593,Dislike talking about myself,自分の話をしたくない,1,5.00,4.00
I0594,Dislike the unknown,未知のものを嫌う,,5.00,3.33
I0595,Dislike works of fiction,小説などの創作物が好きでない,1,4.00,4.00
I0596,Disliked math in school,学生時代、数学が嫌いだった,1,4.00,5.00
I0597,Disregard rules,規則を無視する,1,5.00,5.00
I0598,Disregard the opinions of others,他人の意見を軽視する,1,5.00,5.00
I0599,Distrust people,人を信用しない,1,5.00,5.00
I0600,Do a lot in my spare time,余暇に多くのことをする,,5.00,3.00
I0601,Do crazy things,無謀なことをしてしまう,,3.00,3.67
I0602,Do dangerous things,危険なことをする,1,5.00,5.00
I0603,Do improper things,不適切なことをしてしまう,1,4.00,3.67
I0604,Do just enough work to get by,最低限の仕事しかしない,1,4.00,5.00
I0605,Do more than what's expected of me,期待以上のことをする,1,5.00,5.00
I0606,Do most of the talking,話の大半を自分がする,1,5.00,4.67
I0607,Do my tasks only just before they need to be done,締切直前にしか仕事をしない,,3.00,5.00
I0608,Do not believe in a universal power or a God,神や超越的な力を信じない,1,4.00,4.33
I0609,Do not care how my actions affect others,自分の行動が他者に与える影響を気にしない,1,4.00,5.00
I0610,Do not easily share my feelings with others,他者に感情を打ち明けない,,3.00,5.00
I0611,Do not enjoy going to art museums,美術館に行くことを楽しめない,,3.00,3.00
I0612,Do not enjoy watching dance performances,ダンス公演を観ることを楽しめない,,3.00,3.00
I0613,Do not exercise on a regular basis,定期的に運動しない,1,5.00,5.00
I0614,Do not feel close to people,人と親密に感じられない,,3.00,2.67
I0615,Do not give anyone a second chance to hurt me,自分を傷つけた人に二度目のチャンスを与えない,1,4.00,3.67
I0616,Do not go out of my way to make others smile or laugh,人を笑顔にしたり笑わせたりする努力をしない,1,4.00,4.33
I0617,Do not have a good imagination,想像力が豊かでない,1,5.00,4.33
I0618,Do not have an assertive personality,自己主張するタイプでない,1,5.00,4.33
I0619,Do not like art,芸術が好きでない,1,5.00,4.33
I0620,Do not like concerts,コンサートが好きでない,1,5.00,4.33
I0621,Do not like poetry,詩が好きではない,,5.00,3.00
I0622,Do not like reading or hearing opinions that go against my way of thinking,自分の考えに反する意見を聞きたくない,,3.00,4.33
I0623,Do not like to visit museums,博物館に行きたくない,1,4.00,3.67
I0624,Do not plan ahead,前もって計画を立てない,1,5.00,4.67
I0625,Do not practice any religion,宗教を実践していない,,5.00,3.33
I0626,Do not see the need to acknowledge others who are good to me,良くしてくれた人に感謝を示す必要を感じない,,4.00,3.33
I0627,Do not stand up for my beliefs,自分の信念を貫かない,1,5.00,4.00
I0628,Do not tend to stick with what I decide to do,決めたことをやり通さない傾向がある,1,5.00,4.67
I0629,Do not think about decisions,決断について考えない,,4.00,3.33
I0630,Do the opposite of what is asked,頼まれたことと逆のことをする,,4.00,2.67
I0631,Do things according to a plan,計画に従って行動する,1,5.00,5.00
I0632,Do things at my own pace,自分のペースで行動する,1,5.00,5.00
I0633,Do things at the last minute,ぎりぎりになって行動する,1,4.00,4.67
I0634,Do things behind other people's backs,陰で人を裏切る行動をする,,3.00,3.67
I0635,Do things by the book,決まりどおりに行動する,1,4.00,5.00
I0636,Do things I later regret,後悔する行動をしてしまう,1,4.00,4.33
I0637,Do things in a half-way manner,中途半端に取り組む,1,4.00,5.00
I0638,Do things in a logical order,論理的な順序で行動する,1,4.00,5.00
I0639,Do things men traditionally do,伝統的に男性的とされる活動をする,,4.00,2.67
I0640,Do things my own way,自分のやり方で行動する,1,5.00,5.00
I0641,Do things out of revenge,復讐のために行動する,1,5.00,5.00
I0642,Do things that others find strange,他人が奇妙だと思うことをする,,5.00,3.33
I0643,Do things without thinking of the consequences,結果を考えずに行動する,1,4.00,5.00
I0644,Do too little work,仕事量が少なすぎる,,5.00,2.67
I0645,Do unexpected things,予想外のことをする,1,5.00,4.33
I0646,Do unpleasant tasks immediately,嫌な仕事をすぐに片付ける,1,5.00,5.00
I0647,Do what others do,他人と同じことをする,1,5.00,4.67
I0648,Do what others want me to do,他人が望むことをする,1,5.00,5.00
I0649,Do woodworking,木工作業をする,1,5.00,5.00
I0650,Don�ft have a soft side,優しい面がない,,4.00,2.33
I0651,Don�ft put my mind on the task at hand,目の前の課題に集中しない,,5.00,3.00
I0652,Donated money to a political campaign or cause,政治運動や政治的主張に寄付する,1,4.00,4.33
I0653,Donated money to charity,慈善団体に寄付する,1,4.00,5.00
I0654,Don't act is if I'm a special person,特別扱いを求めない,,3.00,4.00
I0655,Don't always practice what I preach,言行が一致しないことがある,1,4.00,5.00
I0656,Don't approach things halfheartedly,物事に全力で取り組む,,3.00,5.00
I0657,Don't bother to make an effort,努力しようとしない,,5.00,3.00
I0658,Don't bother worrying about political and social problems,政治や社会問題に関心がない,,3.00,4.00
I0659,Don't brag about my accomplishments,自分の成果を自慢しない,1,5.00,4.67
I0660,Don't call attention to myself,目立とうとしない,1,4.00,4.33
I0661,Don't call people just to talk,雑談のために電話しない,,4.00,3.00
I0662,Don't care about dressing nicely,身なりに気を使わない,,3.00,4.33
I0663,Don't care about rules,ルールを気にしない,1,5.00,4.67
I0664,Don't care what others think,他人の意見を気にしない,1,4.00,5.00
I0665,Don't care what people think of me,人からどう思われるか気にしない,1,5.00,5.00
I0666,Don't care whether I'm considered special,特別扱いを求めない,,2.00,4.33
I0667,Don't consider a task finished until it's perfect,完璧になるまで終わらせない,,4.00,3.33
I0668,Don't consider myself attractive,自分を魅力的だと思わない,1,5.00,4.33
I0669,Don't consider myself religious,自分を宗教的だと思わない,1,5.00,4.33
I0670,Don't enjoy being in the spotlight,注目を浴びることを好まない,1,5.00,5.00
I0671,Don't enjoy doing quiet leisure activities,静かな余暇活動を楽しめない,,3.00,2.67
I0672,Don't fall for sob stories,同情を誘う話に動じない,,4.00,2.00
I0673,Don't finish the things that I start,始めたことを最後までやり遂げない,1,4.00,4.67
I0674,Don't finish what I start,最後までやり遂げない,1,4.00,4.00
I0675,Don't get excited about things,物事に興奮しない,,5.00,3.33
I0676,Don't get sidetracked when I work,仕事中に脱線しない,,4.00,3.00
I0677,Don't have a soft side,優しい面を持たない,,5.00,2.67
I0678,Don't have much energy,活力に乏しい,,4.00,3.00
I0679,Don't hesitate to express an unpopular opinion,不人気な意見でもためらわず表明する,,5.00,3.33
I0680,Don't know how to handle myself in a new social situation,新しい社交場面でどう振る舞えばよいかわからない,1,4.00,3.67
I0681,Don't know much about history,歴史についてあまり知らない,1,5.00,3.67
I0682,Don't know why I do some of the things I do,なぜそうするのか自分でもわからないことがある,1,4.00,5.00
I0683,Don't let little things anger me,些細なことで怒らない,1,4.00,4.00
I0684,Don't let others discourage me,他人に落胆させられない,,2.00,2.33
I0685,Don't let others take credit for my work,自分の功績を他人に奪わせない,,4.00,3.00
I0686,Don't like action movies,アクション映画が好きでない,1,5.00,4.00
I0687,Don't like being away from civilization,文明社会から離れたくない,,3.00,4.00
I0688,Don't like crowded events,人混みのイベントが好きでない,1,5.00,4.33
I0689,Don't like the idea of change,変化を好まない,1,4.00,5.00
I0690,Don't like to draw attention to myself,注目を集めたくない,1,4.00,5.00
I0691,Don't like to get dressed up,おしゃれをすることが好きではない,,5.00,3.33
I0692,Don't like to get involved in other people's problems,他人の問題に関わりたくない,1,4.00,4.33
I0693,Don't like to learn new things,新しいことを学ぶのが好きではない,,5.00,3.33
I0694,Don't like to ponder over things,物事を深く考えるのが好きではない,,4.00,3.33
I0695,Don't like to travel,旅行が好きではない,,5.00,3.33
I0696,Don't lose my head,冷静さを失わない,1,4.00,5.00
I0697,Don't make a big deal about gifts that I receive,もらった贈り物を大げさに喜ばない,,3.00,4.00
I0698,Don't mind being the center of attention,注目の的になることを気にしない,1,5.00,5.00
I0699,Don't mind eating alone,一人で食事することを気にしない,1,5.00,5.00
I0700,Don't miss group meetings or team practices,グループの集まりや練習を欠かさない,1,5.00,4.33
I0701,Don't pay attention,注意を払わない,,5.00,2.00
I0702,Don't pay enough attention when others are speaking to me,人の話を十分に聞かない,,3.00,3.00
I0703,Don't pretend to be more than I am,実際以上に見せない,,5.00,1.33
I0704,Don't pride myself on being original,独創性を誇りに思わない,,5.00,3.00
I0705,Don't put a lot of thought into things,物事を深く考えない,1,5.00,3.67
I0706,Don't put my mind on the task at hand,目の前の課題に集中しない,,3.00,3.33
I0707,Don't quit a task before it is finished,途中で投げ出さない,1,4.00,4.33
I0708,Don't read nonfiction books for fun,ノンフィクション本を楽しまない,,2.00,3.00
I0709,Don't see the consequences of things,物事の結果が見えない,,3.00,2.00
I0710,Don't see things through,物事をやり遂げない,1,4.00,3.67
I0711,Don't speak my mind freely when there might be negative results,否定的な結果があり得るときは自由に意見を言わない,,5.00,2.33
I0712,Don't strive for elegance in my appearance,外見の洗練を目指さない,,3.00,2.67
I0713,Don't talk a lot,あまり話さない,1,5.00,4.67
I0714,Don't talk badly to outsiders about my own group,部外者に自分の集団の悪口を言わない,,4.00,2.67
I0715,Don't tend to think things through critically,物事を批判的に考えない,1,5.00,3.67
I0716,Don't think about different possibilities when making decisions,意思決定時に複数の可能性を考えない,1,5.00,3.67
I0717,Don't think about more possibilities than the one I like first,最初に気に入った選択肢以外を考えない,,4.00,3.33
I0718,Don't think I should have to wait in lines like others,他人と同じように列に並ぶ必要はないと思う,1,5.00,3.67
I0719,Don't think it's important to socialize with others,他者との交流が重要だと思わない,1,4.00,3.67
I0720,Don't think laws apply to me,法律は自分には適用されないと思う,1,5.00,4.00
I0721,Don't think much about sex,性的なことをあまり考えない,1,4.00,4.67
I0722,Don't think that I'm better than other people,自分が他人より優れているとは思わない,1,4.00,5.00
I0723,Don't tolerate critics,批判を受け入れられない,,3.00,3.33
I0724,Don't try to figure myself out,自分自身を理解しようとしない,1,4.00,3.67
I0725,Don't try to get even,仕返しをしようとしない,1,4.00,4.67
I0726,Don't understand people who get emotional,感情的になる人が理解できない,1,5.00,4.67
I0727,Don't understand things,物事の理解が遅い,,2.00,3.33
I0728,Don't worry about things that have already happened,過去の出来事を心配しない,1,4.00,4.67
I0729,Doubt the value of religion,宗教の価値に疑問を持つ,1,5.00,4.33
I0730,Downloaded music from the Internet,インターネットから音楽をダウンロードする,,4.00,3.33
I0731,Drank beer or wine,ビールやワインを飲む,1,4.00,5.00
I0732,Drank in a bar or night club,バーやナイトクラブで飲む,1,4.00,5.00
I0733,"Drank whiskey, vodka, gin, or other hard liquor",ウイスキーやウォッカなど強い酒を飲む,,3.00,5.00
I0734,Dread getting up in the morning,朝起きるのが憂鬱だ,,3.00,4.33
I0735,Drove or rode somewhere without remembering later what happened?during all or part of the trip,運転中や移動中の記憶が一部または全部抜け落ちることがある,1,4.00,3.67
I0736,Dwell on the past,過去のことをくよくよ考える,1,4.00,5.00
I0737,Easily lose my train of thought,考えがまとまらなくなりやすい,,3.00,5.00
I0738,Easily resist temptations,誘惑に簡単に抵抗できる,1,5.00,4.00
I0739,Edit a newspaper,新聞の編集ができる,,3.00,2.67
I0740,Engage in discussions,議論に参加する,1,4.00,5.00
I0741,Engage in exciting adventures,刺激的な冒険をする,1,4.00,4.67
I0742,Enjoy a good brawl,激しい喧嘩を楽しむ,,3.00,3.00
I0743,Enjoy being on the go,活動的に動き回る,,2.00,4.33
I0744,Enjoy being part of a group,集団の一員でいる,,3.00,3.67
I0745,Enjoy being part of a loud crowd,賑やかな集団にいる,,3.00,4.00
I0746,Enjoy being reckless,無謀な行動を楽しむ,1,5.00,3.67
I0747,Enjoy being thought of as a normal mainstream person,普通の人と思われたい,,2.00,4.67
I0748,Enjoy bringing people together,人を結びつける,,3.00,5.00
I0749,Enjoy cartoons,アニメを楽しむ,,3.00,5.00
I0750,Enjoy contemplation,じっくり考える,,3.00,5.00
I0751,Enjoy crude jokes,下品なジョークを楽しむ,1,4.00,3.67
I0752,Enjoy discussing movies and books with others,映画や本について人と語り合う,1,4.00,5.00
I0753,Enjoy examining myself and my life,自分自身や人生を見つめる,1,5.00,5.00
I0754,"Enjoy feeling ""close to the earth.""",大地との一体感を楽しむ,,3.00,3.00
I0755,Enjoy flirting with complete strangers,初対面の人と恋愛的に絡む,,3.00,2.00
I0756,Enjoy games of strategy,戦略ゲームを楽しむ,1,5.00,5.00
I0757,Enjoy going to social gatherings,社交的な集まりを楽しむ,1,5.00,5.00
I0758,Enjoy hearing new ideas,新しい考えを聞く,1,4.00,4.00
I0759,Enjoy intellectual games,知的なゲームを楽しむ,1,5.00,5.00
I0760,Enjoy my privacy,一人の時間を楽しむ,1,4.00,5.00
I0761,Enjoy my work,仕事を楽しむ,1,5.00,4.67
I0762,Enjoy sexual experiences intensely,性的体験を強く楽しむ,,5.00,3.00
I0763,Enjoy silence,静けさを楽しむ,1,4.00,5.00
I0764,Enjoy spending time by myself,一人で過ごすのを楽しむ,1,5.00,5.00
I0765,Enjoy teamwork,チームで働くのを楽しむ,1,5.00,5.00
I0766,Enjoy the beauty of nature,自然の美しさを楽しむ,1,5.00,5.00
I0767,Enjoy thinking about things,物事について考えるのを楽しむ,1,5.00,4.67
I0768,Enjoy thought-provoking movies,考えさせられる映画を楽しむ,1,5.00,5.00
